CustomerID,NeedStateID,Day#Daypart
725118,NS01,Overall
725466,NS01,Overall
726561,NS01,Overall
726862,NS01,Overall
727015,NS01,Overall
727219,NS01,Overall
727340,NS01,Overall
727611,NS01,Overall
727990,NS01,Overall
728002,NS01,Overall
728177,NS01,Overall
729081,NS01,Overall
730037,NS01,Overall
730271,NS01,Overall
730433,NS01,Overall
730445,NS01,Overall
730448,NS01,Overall
730472,NS01,Overall
730624,NS01,Overall
730932,NS01,Overall
730957,NS01,Overall
730965,NS01,Overall
731070,NS01,Overall
731084,NS01,Overall
731148,NS01,Overall
731268,NS01,Overall
731273,NS01,Overall
731481,NS01,Overall
731526,NS01,Overall
731691,NS01,Overall
731740,NS01,Overall
731807,NS01,Overall
731843,NS01,Overall
731932,NS01,Overall
732361,NS01,Overall
732706,NS01,Overall
732719,NS01,Overall
732732,NS01,Overall
732958,NS01,Overall
733574,NS01,Overall
733720,NS01,Overall
733736,NS01,Overall
733740,NS01,Overall
733939,NS01,Overall
733977,NS01,Overall
733985,NS01,Overall
733988,NS01,Overall
734152,NS01,Overall
734169,NS01,Overall
734255,NS01,Overall
734438,NS01,Overall
734563,NS01,Overall
734677,NS01,Overall
734740,NS01,Overall
734754,NS01,Overall
735043,NS01,Overall
735059,NS01,Overall
735066,NS01,Overall
735957,NS01,Overall
736467,NS01,Overall
736777,NS01,Overall
736894,NS01,Overall
737074,NS01,Overall
737382,NS01,Overall
737467,NS01,Overall
737514,NS01,Overall
737543,NS01,Overall
737758,NS01,Overall
738009,NS01,Overall
738010,NS01,Overall
738244,NS01,Overall
738307,NS01,Overall
738426,NS01,Overall
738435,NS01,Overall
738653,NS01,Overall
738694,NS01,Overall
738942,NS01,Overall
738997,NS01,Overall
739684,NS01,Overall
739792,NS01,Overall
739972,NS01,Overall
740084,NS01,Overall
740497,NS01,Overall
740785,NS01,Overall
741281,NS01,Overall
741655,NS01,Overall
742309,NS01,Overall
742385,NS01,Overall
742701,NS01,Overall
743123,NS01,Overall
743156,NS01,Overall
743236,NS01,Overall
743338,NS01,Overall
744031,NS01,Overall
744362,NS01,Overall
744379,NS01,Overall
744540,NS01,Overall
744554,NS01,Overall
744783,NS01,Overall
746199,NS01,Overall
746410,NS01,Overall
746594,NS01,Overall
746969,NS01,Overall
747241,NS01,Overall
747383,NS01,Overall
747553,NS01,Overall
747578,NS01,Overall
747694,NS01,Overall
747835,NS01,Overall
747860,NS01,Overall
748086,NS01,Overall
748184,NS01,Overall
748265,NS01,Overall
748393,NS01,Overall
748554,NS01,Overall
748748,NS01,Overall
748883,NS01,Overall
748944,NS01,Overall
749457,NS01,Overall
749837,NS01,Overall
749897,NS01,Overall
749904,NS01,Overall
749977,NS01,Overall
750058,NS01,Overall
750621,NS01,Overall
751840,NS01,Overall
752760,NS01,Overall
754334,NS01,Overall
757809,NS01,Overall
757813,NS01,Overall
758332,NS01,Overall
758618,NS01,Overall
758734,NS01,Overall
758753,NS01,Overall
759238,NS01,Overall
759494,NS01,Overall
760150,NS01,Overall
763355,NS01,Overall
763762,NS01,Overall
764154,NS01,Overall
764281,NS01,Overall
764370,NS01,Overall
764623,NS01,Overall
764654,NS01,Overall
764663,NS01,Overall
764703,NS01,Overall
764882,NS01,Overall
765342,NS01,Overall
765501,NS01,Overall
765509,NS01,Overall
765811,NS01,Overall
765990,NS01,Overall
766496,NS01,Overall
767694,NS01,Overall
767878,NS01,Overall
